Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status
3152417,Having a menu,having a menu,,,,epic,,,"Nov 16, 2016",,,,all the stories for having a menu,https://www.pivotaltracker.com/epic/show/3152417,,,,,,,
134491111,view all the meal,"having a menu, menu",1,"Nov 14, 2016","Nov 20, 2016",feature,,unstarted,"Nov 16, 2016",,,yeoh chun hui,"when the categories selected, all the meal for the category will be displayed. Ask customer for more clarification.",https://www.pivotaltracker.com/story/show/134491111,,connect database,not completed,create UI,not completed,create table to display images,not completed
134491267,add meal,"having a menu, menu",1,"Nov 14, 2016","Nov 20, 2016",feature,,unstarted,"Nov 16, 2016",,,yeoh chun hui,"as an administrator, i want to add meals for the customer to view",https://www.pivotaltracker.com/story/show/134491267,
134491429,update meal list,"having a menu, menu",1,"Nov 14, 2016","Nov 20, 2016",feature,,unstarted,"Nov 16, 2016",,,yeoh chun hui,"as an administrator, i want to update old menu",https://www.pivotaltracker.com/story/show/134491429,
